sp	activity	reference
Solidago virgaurea L.	Allergenic(アレルギー生成);Analgesic(鎮痛剤);Antiedemic(抗浮腫性);Antiexudative(抗浸潤性);Antiinflammatory(抗炎症);Antilithic(抗結石);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Aquaretic(水利尿);Astringent(収斂性);Candidicide;Carminative(駆風薬);Cicatrizant(瘢痕形成薬);Decoagulant(血液凝固を防ぐかまたは遅らせる薬);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Hypotensive(低血圧);Immunostimulant(免疫賦活剤);Laxative(下剤);Litholytic(結石溶解);Nervine(神経鎮静薬);Sedative(鎮静剤);Spermicide(殺精子剤);Stimulant(興奮薬);Tonic(強壮剤);Urinary antiseptic(尿路消毒薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sonchus oleraceus L.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Antibilious(抗胆汁症);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiradicular(抗神経根);Antisarcomic;Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Aperitive(食欲増進薬);Carminative(駆風薬);Cathartic(下剤);Cholagogue(胆汁分泌促進薬);CNS-sedative(中枢神経系鎮静);Collyrium(洗眼液);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Emmenagogue(通経薬);Emollient(緩和剤);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hepatotonic;Hydragogue(駆水薬);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Litholytic(結石溶解);Narcotic(麻薬);Neurotonic(神経賦活性);Orexigenic(食欲刺激[促進]物質);Purgative(下剤);Refrigerant(解熱剤);Sedative(鎮静剤);Stomachic(健胃薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Sophora secundiflora (Ortega) Lag. Ex DC.	Hallucinogen(幻覚剤);Insecticide(殺虫剤);Intoxicant(中毒物質);Narcotic(麻薬);Poison(毒);Stimulant(興奮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sorbus americana Marshall	Analgesic(鎮痛剤);Antiscorbutic(抗壊血病);Antiseptic(防腐剤);Aperitif(食前酒);Astringent(収斂性);Bitter(苦味);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sorbus aucuparia L.	Antiinflammatory(抗炎症);Astringent(収斂性);Catabolic(異化作用);Depurative(浄化作用);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Irritant(刺激物);Laxative(下剤);Litholytic(結石溶解);Pectoral(胸筋);Sialagogue(唾液分泌促進薬);Uricosuric(尿酸排せつ)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sorbus domestica L.	Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Astringent(収斂性);Dermabrasive(削皮)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sorghum bicolor (L.) Moench.	Antiabortifacient(抗流産薬);Aperitif(食前酒);Aphrodisiac(媚薬);Cyanogenic(青酸生産);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diuretic(利尿薬);Emollient(緩和剤);Stomachic(健胃薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Spergularia rubra (L.) J. Presl & C. Presl	Diuretic(利尿薬);Litholytic(結石溶解)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sphagneticola trilobata (L.) Pruski	Analgesic(鎮痛剤);Antiseptic(防腐剤);Febrifuge(解熱剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Spigelia anthelmia L.	Anthelminthic(駆虫薬、虫下し);Antifeedant(摂食阻害剤);Cardiac(心臓);Cardiotonic(強心剤);Cathartic(下剤);Hypertensive(高血圧);Insecticide(殺虫剤);Larvicide(幼虫駆除剤);Narcotic(麻薬);Nematocide(抗線虫剤);Ovicide(殺卵剤);Paralytic(麻痺);Poison(毒);Positive Inotropic(陽性変力作用);Purgative(下剤);Sedative(鎮静剤);Soporific(催眠剤);Tonic(強壮剤);Toxic(毒性);Tranquilizer(精神安定剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Spigelia marilandica (L.) L.	Antipyretic(解熱薬);Cardiac(心臓);Cardiotonic(強心剤);Digestive(消化器);Narcotic(麻薬);Paralytic(麻痺);Poison(毒);Sedative(鎮静剤);Soporific(催眠剤);Tonic(強壮剤);Toxic(毒性);Tranquilizer(精神安定剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sesamum indicum L.	Abortifacient(堕胎薬);Alopecia(脱毛(症));Amenorrhea(無月経);Aneuria(神経力欠乏(症));Antiabortifacient(抗流産薬);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Aphrodisiac(媚薬);Arthorosis(関節症);Asthma(喘息);Astringent(収斂性);Bleeding(出血);Boil(おでき);Bronchosis(気管支炎);Cachexia(悪液質);Cancer(ガン);Cancer, abdomen(ガン、腹部);Cancer, breast(ガン、胸部);Cancer, colon(ガン、結腸);Cancer, eye(ガン、目);Cancer, stomach(ガン、胃);Caries(カリエス、骨瘍剤);Catarrh(カタル);Cholera(コレラ);Cold(感冒);Condyloma(コンジローム);Conjunctivosis;Constipation(便秘);Cough(咳);Cramp(けいれん、ひきつり);Cystosis;Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Dentifrice(歯磨剤);Dermatosis(皮膚病);Diabetes(糖尿病);Diarrhea(下痢);Diuretic(利尿薬);Dizziness(めまい);Dyschezia(排便障害);Dysentery(赤痢);Dysmenorrhea(月経困難);Dysuria(排尿障害);Edema(水しゅ、浮腫);Emmenagogue(通経薬);Emollient(緩和剤);Enterosis;Gastrosis(胃障害);Gout(痛風);Gray hair;Headache(頭痛);Hemorrhoids(痔核);Hepatosis(肝機能不全);High blood pressure(高血圧);Immunodepression(免疫抑制);Immunosuppressant(免疫抑制剤);Impotence(インポテンツ);Induration(硬化性);Infection(感染);Inflammation(炎症);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Malaria(マラリア);Mastosis;Menorrhagia(月経過多症);Migraine(片頭痛);Nephrosis((上皮性)腎臓症、ネフローゼ);Neuroparalysis(神経麻痺);Neurosis(神経症);Neurotonic(神経賦活性);Ophthalmia(眼結膜炎、眼炎);Osteoporosis(骨粗鬆症);Otorrhea(耳漏);Pain(痛み);Proctorrhagia(直腸出血);Propecic;Pulmonosis;Rheumatosis(リウマチ性疾患);Scab(かさぶた);Scabies(疥癬);Smallpox(天然痘);Snakebite(ヘビ傷);Sore(潰瘍);Sore Throat(咽喉炎);Splenosis(脾症);Strangury(有痛排尿困難);Swelling(膨潤);Syphilis(梅毒);Tinnitus(耳鳴り);Tonic(強壮剤);Tumor(腫瘍);Urethrosis;Uterorrhagia(子宮発疹);Uterosis;Venereal disease(性行為感染症);Vertigo(めまい);Wart(疣贅)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002);James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
Spinacia oleracea L.	Alexeteric(解毒作用);Antianemic(抗貧血);Antimaculitic;Antinyctalopic(抗夜盲);Antioxidant(酸化防止剤);Antipyretic(解熱薬);Antiretinitic;Antiribosomal(抗リボソーム);Antiviral(抗ウイルス薬);Aperitif(食前酒);Astringent(収斂性);Carminative(駆風薬);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Diuretic(利尿薬);Emollient(緩和剤);Hematogenic(造血);Hypoglycemic(低血糖);Immunostimulant(免疫賦活剤);Laxative(下剤);Litholytic(結石溶解);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Spondias mombin L.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Anthelminthic(駆虫薬、虫下し);Antiarthritic(抗関節炎薬);Antiasthmatic(抗ぜんそく);Anticarcinogenic(抗発ガン性);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antidopamine(抗ドーパミン);Antidote (poison)(解毒剤、毒);Antidysenteric(抗赤痢);Antifertility(避妊);Antiherpetic(抗ヘルペス);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitussive(鎮咳薬);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Anxiolytic(抗不安薬);Aphrodisiac(媚薬);Astringent(収斂性);Bactericide(殺菌剤);Beta-lactamase Inhibitor(Beta-ラクタマーゼ阻害剤);Candidicide;Cardioactive(心臓に影響を与える);Cicatrizant(瘢痕形成薬);Contraceptive(避妊薬);Cyclooxygenase COX inhibitor(シクロオキシゲナーゼ阻害剤);Cytotoxic(細胞毒性);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Myorelaxant(筋肉弛緩薬);Nervine(神経鎮静薬);Oxytocic(子宮収縮剤);Poison(毒);Purgative(下剤);Refrigerant(解熱剤);Reverse Transcriptase Inhibitor(逆転写酵素阻害);Sedative(鎮静剤);Sterilant(滅菌剤);Stimulant(興奮薬);Stomachic(健胃薬);Taeniacide(サナダムシ駆除薬、条虫駆除剤);Tonic(強壮剤);Uterorelaxant(子宮弛緩薬);Uterostimulant(子宮刺激薬);Uterotonic(子宮収縮薬);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Smallanthus sonchifolius (Poepp. & Endl.) H. Rob.	Analgesic(鎮痛剤);Antihyperglycemic(血糖降下);Antiinflammatory(抗炎症);Antilipoperoxidant(抗リポペルオキシダント);Antioxidant(酸化防止剤);Antiradicular(抗神経根);Antiseptic(防腐剤);Bactericide(殺菌剤);Cytoprotective(細胞保護);Diuretic(利尿薬);Febrifuge(解熱剤);Hypoglycemic(低血糖);Hypotriglyceridemic(低トリグリセリド);Immunomodulator(免疫修飾因子);Insulinogenic(インスリン生成);Prebiotic(プレバイオティック)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Smilax aristolochiifolia Mill	Alterative(体質改善剤);Anabolic(同化促進);Antiinflammatory(抗炎症);Antiitch(かゆみ止め);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Aphrodisiac(媚薬);Bactericide(殺菌剤);Bitter(苦味);Cardiosedative;Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hepatoprotective(肝保護);Immunomodulator(免疫修飾因子);Laxative(下剤);Memorigenic;Sudorific(発汗促進);Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Smilax aristolochiifolia Mill.	Alterative(体質改善剤);Anabolic(同化促進);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antiitch(かゆみ止め);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Aphrodisiac(媚薬);Bitter(苦味);Cardiosedative;Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hepatoprotective(肝保護);Laxative(下剤);Steroid-precursor starter material progesterone, testosterone, and other steroids(ステロイド前駆体スターター材料プロゲステロン、テストステロン、およびその他のステロイド);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solanum dulcamara L.	Alterative(体質改善剤);Analgesic(鎮痛剤);Anaphrodisiac(制淫薬);Anticholinergic(抗コリン作用薬);Antidote(解毒剤);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antisarcomic;Antiseptic(防腐剤);Antiviral(抗ウイルス薬);Astringent(収斂性);Cardiotonic(強心剤);Cytotoxic(細胞毒性);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Hypnotic(睡眠薬);Immunostimulant(免疫賦活剤);Laxative(下剤);Mucoirritant;Narcotic(麻薬);Pectoral(胸筋);Phagocytotic(食作用);Poison(毒);Secretagogue(分泌促進物質、分泌促進剤);Sedative(鎮静剤);Stimulant(興奮薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solanum lasiocarpum Dunal	Antibacterial(抗菌);Anticancer(抗ガン);Antileukemic(抗白血病);Antipyretic(解熱薬);Aphrodisiac(媚薬);Astringent(収斂性);Bitter(苦味);Cardiotonic(強心剤);Carminative(駆風薬);Diaphoretic(発汗剤);Digestive(消化器);Expectorant(去痰薬);Hypnotic(睡眠薬);Laxative(下剤);Poison(毒);Stimulant(興奮薬);Stomachic(健胃薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solanum mammosum L.	Antiplasmodial(抗変形菌);Aphrodisiac(媚薬);Bitter(苦味);Diuretic(利尿薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Insecticide(殺虫剤);Litholytic(結石溶解);Molluscicide(軟体動物駆除剤);Sedative(鎮静剤);Sudorific(発汗促進);Toxic(毒性);Tranquilizer(精神安定剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Solanum melongena L.	Antianaphylactic(抗アナフィラキシー);Antiatherosclerotic(抗アテローム硬化性);Antibacterial(抗菌);Anticholinesterase(抗コリンエステラーゼ);Antidote (mushroom)(解毒剤、キノコ);Antioxidant(酸化防止剤);Antisarcomic;Antiseptic(防腐剤);Carminative(駆風薬);Goitrogenic(甲状腺腫を誘発するような);Hypocholesterolemic(低コレステロール血);Hypolipidemic(低リポタンパク血、抗高脂血症薬、脂質低下薬);Hypotensive(低血圧);Narcotic(麻薬);Proteinase inhibitor(プロテイナーゼ阻害剤);Sialagogue(唾液分泌促進薬);Stimulant(興奮薬);Trypsin inhibitor(トリプシン阻害剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solanum nigrum L.	Alterative(体質改善剤);Analgesic(鎮痛剤);Anesthetic(麻酔薬);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Antiulcerogenic(抗潰瘍);Aperitif(食前酒);Aphrodisiac(媚薬);Cholagogue(胆汁分泌促進薬);Collyrium(洗眼液);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Emollient(緩和剤);Expectorant(去痰薬);Hypotensive(低血圧);Laxative(下剤);Narcotic(麻薬);Poison(毒);Sedative(鎮静剤);Tonic(強壮剤);Tranquilizer(精神安定剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solanum obliquum Ruiz & Pav.	Febrifuge(解熱剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Solanum torvum Sw.	Antidote(解毒剤);Antiherpetic(抗ヘルペス);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiviral(抗ウイルス薬);Bactericide(殺菌剤);Carcinogenic(発ガン性);Curare(クラーレ);Digestive(消化器);Diuretic(利尿薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Heamangiomagenic;Hemostat(止血剤);Hypercalcemia(高カルシウム血症);Hyperphosphataemic(高リン酸血性);Narcotic(麻薬);Sedative(鎮静剤);Sudorific(発汗促進);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Solanum tuberosum L.	Alterative(体質改善剤);Analgesic(鎮痛剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiulcerogenic(抗潰瘍);Bactericide(殺菌剤);Cardiotonic(強心剤);Collyrium(洗眼液);Diuretic(利尿薬);Emetic(催吐薬);Emollient(緩和剤);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Hypoglycemic(低血糖);Hypotensive(低血圧);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Myotropic(筋親和性);Narcotic(麻薬);Orexigenic(食欲刺激[促進]物質);Pectoral(胸筋)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solenostemon scutellarioides (L.) Codd	Analgesic(鎮痛剤);Collyrium(洗眼液);Contraceptive(避妊薬);Depurative(浄化作用);Emmenagogue(通経薬);Hallucinogen(幻覚剤);Narcotic(麻薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Soliago odora Aiton	Antispasmodic(鎮痙薬);Aperient(緩下剤);Astringent(収斂性);Carminative(駆風薬);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Expectorant(去痰薬);Hemostat(止血剤);Stimulant(興奮薬);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solidago canadensis L.	Anticancer(抗ガン);Antiinflammatory(抗炎症);Antispasmodic(鎮痙薬);Diuretic(利尿薬);Emetic(催吐薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sida cordifolia L.	Abortifacient(堕胎薬);Alterative(体質改善剤);Amebicide(抗アメーバ薬);Analgesic(鎮痛剤);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiperoxidant(抗過酸化物質);Antipyretic(解熱薬);Antiradicular(抗神経根);Aphrodisiac(媚薬);Astringent(収斂性);Bechic(咳);Bitter(苦味);Bradycardiac(徐脈);Cardiotonic(強心剤);Cerebrotonic(頭脳型);Circulotonic;CNS-depressant(中枢神経系抑制剤);Curare(クラーレ);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Emollient(緩和剤);Febrifuge(解熱剤);Hypoglycemic(低血糖);Hypotensive(低血圧);Insecticide(殺虫剤);Lipogenic(脂質生成);Pectoral(胸筋);Protisticide(原生生物駆除剤);Refrigerant(解熱剤);Sedative(鎮静剤);Stomachic(健胃薬);Teratogen(催奇形物質);Tonic(強壮剤);Vasorelaxant(血管平滑筋弛緩);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sida rhombifolia L.	Analgesic(鎮痛剤);Antibacterial(抗菌);Antifertility(避妊);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Aphrodisiac(媚薬);Bactericide(殺菌剤);Cytotoxic(細胞毒性);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Diuretic(利尿薬);Emmenagogue(通経薬);Emollient(緩和剤);Expectorant(去痰薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Gram(-)-incide(殺グラム陰性菌薬);Gram(+)-incide(殺グラム陽性菌薬);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Propecic;Sedative(鎮静剤);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
