cid	metabolite	category	function	targetsp	reference
C00036446	2-(4-Hydroxyphenyl)-1-nitroethane	Antifungal	Antifungal inactive	Candida albicans	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00036446	2-(4-Hydroxyphenyl)-1-nitroethane	Antifungal	Antifungal inactive	Cladosporium herbarum	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00036446	2-(4-Hydroxyphenyl)-1-nitroethane	Antifungal	Antifungal inactive	Fusarium oxysporum	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00036535	3alpha-Hydroxy-2-oxofriedelane-20alpha-carboxylic acid	Antibacterial	Antibacterial	Pseudomonas aeruginosa	Orabi, et al., Phytochemistry, 58, (2001), 475.
C00036535	3alpha-Hydroxy-2-oxofriedelane-20alpha-carboxylic acid	Antibacterial	Antibacterial	Staphylococcus aureus	Orabi, et al., Phytochemistry, 58, (2001), 475.
C00036535	3alpha-Hydroxy-2-oxofriedelane-20alpha-carboxylic acid	Antifungal	Antifungal	Cryptococcus neoformans	Orabi, et al., Phytochemistry, 58, (2001), 475.
C00036535	3alpha-Hydroxy-2-oxofriedelane-20alpha-carboxylic acid	Antifungal	Antifungal inactive	Candida albicans	Orabi, et al., Phytochemistry, 58, (2001), 475.
C00036554	Iriflogenin;3'-Methoxyirilone	Antioxidant	Antioxidant, DPPH scavenger		Purev, et al., Chem Pharm Bull, 50, (2002), 1367.;Wollenweber, et al., Planta Med, 69, (2003), 15.
C00036554	Iriflogenin;3'-Methoxyirilone	Inhibit CYP	Cytochrome CyP1A inhibitor		Purev, et al., Chem Pharm Bull, 50, (2002), 1367.;Wollenweber, et al., Planta Med, 69, (2003), 15.
C00036592	5alpha-Lanosta-7,9(11),24-triene-3alpha,23-diol;(-)-5alpha-Lanosta-7,9(11),24-triene-3alpha,23-diol	Antileishmanial	Antileishmanial		Camacho, et al., Phytochemistry, 56, (2001), 203.
C00036592	5alpha-Lanosta-7,9(11),24-triene-3alpha,23-diol;(-)-5alpha-Lanosta-7,9(11),24-triene-3alpha,23-diol	Antimalarial	Antimalarial	Plasmodium falciparum K1	Camacho, et al., Phytochemistry, 56, (2001), 203.
C00036592	Lanosta-7,9(11),24-triene-3alpha,23-diol	Anticancer	Cytotoxic, KB hmn nasopharyngeal carcinoma cells		Camacho, et al., Phytochemistry, 56, (2001), 203.
C00036592	Lanosta-7,9(11),24-triene-3alpha,23-diol	Antitrypanosomal	Antitrypanosomal	Trypanosoma brucei brucei	Camacho, et al., Phytochemistry, 56, (2001), 203.
C00036600	5-Methoxyseselin	Anticancer	Antineoplastic, EBV-EA activation inhibitor, TPA-induced		Ito, et al., Planta Med, 71, (2005), 84.
C00036600	5-Methoxyseselin	Antineoplastic	Antineoplastic, antitumor promoter		Ito, et al., Planta Med, 71, (2005), 84.
C00036600	5-Methoxyseselin	Antineoplastic	Antineoplastic, Radi cells		Ito, et al., Planta Med, 71, (2005), 84.
C00036691	Aglafoline;(-)-Aglafoline	Cytotoxic	Cytotoxic, Ishikawa anti-E2 bioassay		Boitand, et al., Chem Abstr, 54, (1960), 18573a.;Schneider, et al., Phytochemistry, 54, (2000), 731.;Lshibashi, et al., Phytochemistry, 32, (1993), 307.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036734	Anthrakunthone	Antimalarial	Antimalarial	Plasmodium	Pnegi, et al., Phytochemistry, 60, (2002), 39.
C00036735	Araliasaponin IX;Congmunoside IX	Anticancer	Cytotoxic, A375 hmn melanoma cells		Feng, et al., Planta Med, 69, (2003), 1036.
C00036735	Araliasaponin IX;Congmunoside IX	Anticancer	Cytotoxic, HeLa culture cervical epithelial cancer cells from Henrietta Lack		Feng, et al., Planta Med, 69, (2003), 1036.
C00036782	Atranorin;Parmelin;Usnarin acid	Antibacterial	Antibacterial, no explanation of bacterial species		Lahlou, et al., Phytochemistry, 53, (2000), 271.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00036871	Campneoside I	Antibacterial	Antibacterial	Staphylococcus sp.	Davioud, et al., Planta Med, 55, (1989), 87.;Jiao, et al., J of Natural Medicines(Japan), 46, (1993), 330.;Suzuki, et al., Phytochemistry, 34, (1993), 729.;Nishibe, et al., Phytochemistry, 32, (1993), 975.;Imakura, et al., Phytochemistry, 24, (1985), 139.;Kang, et al., Chem Abstr, 122, (1995), 286677k.
C00036871	Campneoside I	Antibacterial	Antibacterial	Streptococcus sp.	Davioud, et al., Planta Med, 55, (1989), 87.;Jiao, et al., J of Natural Medicines(Japan), 46, (1993), 330.;Suzuki, et al., Phytochemistry, 34, (1993), 729.;Nishibe, et al., Phytochemistry, 32, (1993), 975.;Imakura, et al., Phytochemistry, 24, (1985), 139.;Kang, et al., Chem Abstr, 122, (1995), 286677k.
C00037118	erythro-Anethole glycol	Other health agent	Anti-sepsis		Lee, et al., Planta Med, 69, (2003), 861.
C00036323	(12E)-Lembyne A	Antibacterial	Antibacterial	Alcaligenes aquamarinus	Vairappan, et al., Phytochemistry, 58, (2001), 517.
C00037184	Globulixanthone D	Anticancer	Cytotoxic, HT29 hmn colorectal cancer cells		Chen, et al., Planta Med, 70, (2004), 1195.;Nkengfack, et al., Phytochemistry, 61, (2002), 181.
C00037184	Globulixanthone D	Antimicrobial	Antimicrobial		Chen, et al., Planta Med, 70, (2004), 1195.;Nkengfack, et al., Phytochemistry, 61, (2002), 181.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antibacterial	Antibacterial inactive	Bacillus brevis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antibacterial	Antibacterial inactive	Bacillus subtilis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036152	Moracin G	Antifungal	Antifungal	Stigmina mori	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036152	Moracin G	Antifungal	Antifungal inactive	Sclerotinia sp.	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036153	Moracin H	Antifungal	Antifungal	Diaporthe nomurai	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036153	Moracin H	Antifungal	Antifungal	Stigmina mori	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036154	Moracin I	Anticancer	Aromatase inhibitor inactive		Lee, et al., Journal of Natural Products, 64, (2001), 1286.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036154	Moracin I	Anticancer	Cytotoxic, antiproliferative, hmn breast cancer cells		Lee, et al., Journal of Natural Products, 64, (2001), 1286.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036154	Moracin I	Anticancer	Cytotoxic, estrogen alpha-receptor-binding assay		Lee, et al., Journal of Natural Products, 64, (2001), 1286.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036154	Moracin I	Anticancer	Cytotoxic, estrogen beta-receptor-binding assay		Lee, et al., Journal of Natural Products, 64, (2001), 1286.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036154	Moracin I	Anticancer	Cytotoxic, hmn breast cancer cells		Lee, et al., Journal of Natural Products, 64, (2001), 1286.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036154	Moracin I	Anti-inflammatory	Cytotoxic, COX-1 inhibitor		Lee, et al., Journal of Natural Products, 64, (2001), 1286.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036157	Moracin N	Anticancer	Aromatase inhibitor		Lee, et al., Journal of Natural Products, 64, (2001), 1286.;Kinghorn, et al., Planta Med, 70, (2004), 691.
C00036165	Mulberrofuran B	Cytotoxic	Cytotoxic inactive, HGF cells		Nomura, et al., Planta Med, 42, (1981), 197.;Shi, et al., Journal of Natural Products, 64, (2001), 181.
C00036165	Mulberrofuran B	Cytotoxic	Cytotoxic inactive, HSC-2 cells		Nomura, et al., Planta Med, 42, (1981), 197.;Shi, et al., Journal of Natural Products, 64, (2001), 181.
C00036165	Mulberrofuran B	Cytotoxic	Cytotoxic inactive, HSG cells		Nomura, et al., Planta Med, 42, (1981), 197.;Shi, et al., Journal of Natural Products, 64, (2001), 181.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	10 strains of methicillin-resistant Staphylococcus aureus(MRSA)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	8 strains of methicillin-resistant Staphylococcus aureus(MRSA)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Enterococcus faecalis JCM7783 strain(VSE)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Enterococcus faecalis JU1782(VRE, VanB)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Enterococcus faecalis JU1856(VRE, VanA)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Enterococcus faecium JCM5804(VSE)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Enterococcus faecium JU1777(VRE, VanB)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Enterococcus faecium JU1858(VRE, VanA)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Enterococcus gallinarum JU2786 strain(VRE, VanC)	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Antibacterial	Antibacterial	Staphylococcus aureus methicillin-resistant JCM2874 strain	Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Cytotoxic	Cytotoxic inactive, HGF cells		Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Cytotoxic	Cytotoxic inactive, HSC-2 cells		Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036166	Mulberrofuran D	Cytotoxic	Cytotoxic inactive, HSG cells		Shi, et al., Journal of Natural Products, 64, (2001), 181.;Fukai, et al., Planta Med, 70, (2004), 685.
C00036167	Mulberrofuran L	Cytotoxic	Cytotoxic inactive, HGF cells		Shi, et al., Journal of Natural Products, 64, (2001), 181.
C00036167	Mulberrofuran L	Cytotoxic	Cytotoxic inactive, HSC-2 cells		Shi, et al., Journal of Natural Products, 64, (2001), 181.
C00036167	Mulberrofuran L	Cytotoxic	Cytotoxic inactive, HSG cells		Shi, et al., Journal of Natural Products, 64, (2001), 181.
C00036186	O-Methylpisiferic acid	Antibacterial	Antibacterial	Bacillus subtilis	Xiao, et al., Chem Pharm Bull, 49, (2001), 1479.
C00036186	O-Methylpisiferic acid	Antibacterial	Antibacterial	Staphylococcus aureus	Xiao, et al., Chem Pharm Bull, 49, (2001), 1479.
C00036246	(-)-Isochaminic acid	Antifungal	Antifungal, TLC		Jayasinghe, et al., Phytochemistry, 62, (2003), 637.
C00036284	(-)-Lyoniresinol 3alpha-O-beta-D-glucopyranoside	Antioxidant	Antioxidant inactive, superoxide radical scavenging assay		Min, et al., Chem Pharm Bull, 51, (2003), 1322.
C00036284	(-)-Lyoniresinol 3alpha-O-beta-D-glucopyranoside	Antioxidant	Antioxidant, DPPH scavenger		Min, et al., Chem Pharm Bull, 51, (2003), 1322.
C00036284	(-)-Lyoniresinol 3alpha-O-beta-D-glucopyranoside	Antioxidant	Antioxidant, inhibits lipid peroxidation, no description on target tissue and method		Min, et al., Chem Pharm Bull, 51, (2003), 1322.
C00036323	(12E)-Lembyne A	Antibacterial	Antibacterial	Erwinia amylovora	Vairappan, et al., Phytochemistry, 58, (2001), 517.
C00036323	(12E)-Lembyne A	Antibacterial	Antibacterial inactive	Alteromonas sp.	Vairappan, et al., Phytochemistry, 58, (2001), 517.
C00035985	9-Methoxycanthin-6-one	Anti-HIV	Anti-HIV inactive, no explanation of HIV species		Kuo, et al., Journal of Natural Products, 66, (2003), 1324.;Kanchanapoom, et al., Phytochemistry, 56, (2001), 383.
C00035985	9-Methoxycanthin-6-one	Antimalarial	Antimalarial inactive	Plasmodium falciparum D6 clone	Kuo, et al., Journal of Natural Products, 66, (2003), 1324.;Kanchanapoom, et al., Phytochemistry, 56, (2001), 383.
C00035985	9-Methoxycanthin-6-one	Antimalarial	Antimalarial inactive	Plasmodium falciparum TM91C235 clone	Kuo, et al., Journal of Natural Products, 66, (2003), 1324.;Kanchanapoom, et al., Phytochemistry, 56, (2001), 383.
C00035985	9-Methoxycanthin-6-one	Antimalarial	Antimalarial inactive	Plasmodium falciparum W2 clone	Kuo, et al., Journal of Natural Products, 66, (2003), 1324.;Kanchanapoom, et al., Phytochemistry, 56, (2001), 383.
C00036009	Spicoside D;3'-Hydroxyscutellarein 7-O-(6''-O-trans-feruloyl)-beta-glucopyranoside	Antioxidant	Antioxidant, DPPH scavenger		Saracoglu, et al., Phytochemistry, 65, (2004), 2379.
C00036126	Isochaihulactone;(-)-Isochaihulactone	Cytotoxic	Cytotoxic, hmn peripheral blood T cells		Chang, et al., Phytochemistry, 64, (2003), 1375.
C00036130	Kaerophyllin	Cytotoxic	Cytotoxic, hmn peripheral blood T cells		Chang, et al., Phytochemistry, 64, (2003), 1375.
C00036133	Lucilianoside C;(-)-Lucilianoside C	Cytotoxic	Cytotoxic inactive, HSC-2 cells		Ori, et al., Phytochemistry, 64, (2003), 1351.
C00036134	Lucilianoside D;(-)-Lucilianoside D	Cytotoxic	Cytotoxic inactive, HSC-2 cells		Ori, et al., Phytochemistry, 64, (2003), 1351.
C00036135	Lucilianoside E;(-)-Lucilianoside E	Cytotoxic	Cytotoxic inactive, HSC-2 cells		Ori, et al., Phytochemistry, 64, (2003), 1351.
C00036136	Manassantin A;(-)-Manassantin A	Anti-inflammatory	Anti-inflammatory, ICAM-1 expression inhibitor, PMA-induced		Hwang, et al., Phytochemistry, 64, (2003), 765.;Rho, et al., Planta Med, 69, (2003), 1147.;Ma, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 28, (2003), 196.
C00036136	Manassantin A;(-)-Manassantin A	Anti-inflammatory	Anti-inflammatory, NF-kappaB inhibitor		Hwang, et al., Phytochemistry, 64, (2003), 765.;Rho, et al., Planta Med, 69, (2003), 1147.;Ma, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 28, (2003), 196.
C00036137	Manassantin B;(-)-Manassantin B	Anti-inflammatory	Anti-inflammatory, ICAM-1 expression inhibitor, PMA-induced		Hwang, et al., Phytochemistry, 64, (2003), 765.;Rho, et al., Planta Med, 69, (2003), 1147.;Ma, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 28, (2003), 196.
C00036137	Manassantin B;(-)-Manassantin B	Anti-inflammatory	Anti-inflammatory, NF-kappaB inhibitor		Hwang, et al., Phytochemistry, 64, (2003), 765.;Rho, et al., Planta Med, 69, (2003), 1147.;Ma, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 28, (2003), 196.
C00036140	Meliacinanhydride;Methyl 12-oxo-8alpha,15-dihydroxyabiet-13-en-19-oate	Anticancer	Cytotoxic, A549 non-small cell lung cancer cells		Barrero, et al., Phytochemistry, 65, (2004), 2507.
C00036140	Meliacinanhydride;Methyl 12-oxo-8alpha,15-dihydroxyabiet-13-en-19-oate	Anticancer	Cytotoxic, H116 hmn colorectal cancer cells		Barrero, et al., Phytochemistry, 65, (2004), 2507.
C00036142	Methyl 15-hydroxy-8alpha,12alpha-epidioxiabiet-13-en-19-oate	Anticancer	Cytotoxic, A549 non-small cell lung cancer cells		Barrero, et al., Phytochemistry, 65, (2004), 2507.
C00036142	Methyl 15-hydroxy-8alpha,12alpha-epidioxiabiet-13-en-19-oate	Anticancer	Cytotoxic, H116 hmn colorectal cancer cells		Barrero, et al., Phytochemistry, 65, (2004), 2507.
C00036143	Methyl orsellinate	Cardiotonic	cAMP phosphodiesterase inhibitor		Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Lojanapiwatna, et al., Chem Abstr, 97, (1982), 178728j.;Mata, et al., Phytochemistry, 64, (2003), 285.
C00036143	Methyl orsellinate		CaM interactor		Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Lojanapiwatna, et al., Chem Abstr, 97, (1982), 178728j.;Mata, et al., Phytochemistry, 64, (2003), 285.
C00036144	Microstegiol	Anticancer	Cytotoxic, Col2 hmn colorectal cancer cells		Topcu, et al., Planta Med, 69, (2003), 464.
C00036144	Microstegiol	Cytotoxic	Cytotoxic inactive, KB cells		Topcu, et al., Planta Med, 69, (2003), 464.
C00036144	Microstegiol	Cytotoxic	Cytotoxic inactive, LNCaP cells		Topcu, et al., Planta Med, 69, (2003), 464.
C00036144	Microstegiol	Cytotoxic	Cytotoxic inactive, Lu1 cells		Topcu, et al., Planta Med, 69, (2003), 464.
C00036148	Moracin B	Antifungal	Antifungal	Bipolaris leesiae	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).
C00036148	Moracin B	Antifungal	Antifungal	Diaporthe nomurai	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).
C00036148	Moracin B	Antifungal	Antifungal	Stigmina mori	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).
C00036149	Moracin C	Antifungal	Antifungal, no description on fungi species		Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036150	Moracin D	Anticancer	Aromatase inhibitor inactive		Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).;Lee, et al., Journal of Natural Products, 64, (2001), 1286.
C00036150	Moracin D	Antifungal	Antifungal, no description on fungi species		Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).;Lee, et al., Journal of Natural Products, 64, (2001), 1286.
C00036151	Moracin E	Antifungal	Antifungal	Diaporthe nomurai	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036151	Moracin E	Antifungal	Antifungal	Sclerotinia sp.	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036151	Moracin E	Antifungal	Antifungal inactive	Stigmina mori	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00036152	Moracin G	Antifungal	Antifungal	Diaporthe nomurai	Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00035839	Inophylloidic acid	Antibacterial	Antibacterial inactive	Escherichia coli	Yimdjo, et al., Phytochemistry, 65, (2004), 2789.
C00035839	Inophylloidic acid	Antibacterial	Antibacterial inactive	Vibrio anguillarum	Yimdjo, et al., Phytochemistry, 65, (2004), 2789.
